,Date,TweetURL,User,Source,Location,Tweet,Likes_Count,Retweet_Count,Quote_Count,Reply_Count
96,2021-10-23 09:51:01+00:00,https://twitter.com/YuzYussof/status/1451848628549656577,YuzYussof,Twitter for Android,Wilayah Persekutuan Labuan,cibai la line celcom.. dari semalam sampai hari ni.. nda pernah2 begini lama tiada line 🖕🏻,0,0,0,0
97,2021-10-21 11:27:14+00:00,https://twitter.com/danneyboyladero/status/1451148067135115272,danneyboyladero,Twitter for Android,keningau,"@Celcom Biar 1000 gb engkau bagi klaw line internet masi truk...tiada guna juga.
Keningau,sabah, malaysia
Pengalaman internet celcom adalah yg paling teruk. Tak minta bnyk..line internet yang stabil pn da cukup, ni bacaan 70 kbps. 500 kbps stabil pun ok da celcom.",0,0,0,0
98,2021-10-19 04:21:40+00:00,https://twitter.com/audifaliq/status/1450316193697439746,audifaliq,Twitter for Android,"Petaling Jaya, Malaysia","Hi @Celcom , dalam Eco Shop Sunway Mentari tiada coverage (0 bar). Diharap dapat sediakan line untuk kemudahan pelanggan. Terima kasih.",0,0,0,0
99,2021-10-01 04:02:13+00:00,https://twitter.com/aaishazlkp/status/1443788317263237122,aaishazlkp,Twitter for iPhone,,Celcom dgn line problem berpisah tiada,0,0,0,0
100,2021-09-24 11:47:33+00:00,https://twitter.com/shaanizzle_/status/1441368706274054150,shaanizzle_,Twitter for Android,BKI,Stress bah tiada wifi ni yihhh. Line Celcom pun macam pantat,0,0,0,0
101,2021-09-22 07:07:59+00:00,https://twitter.com/Abyieee2/status/1440573576977862661,Abyieee2,Twitter for Android,,"Jika mereka tiada line Digi, tapi ada line Celcom, maka Tonewow sentiasa ada. Begitu juga sebaliknya!

Mana yang menunggu peluang untuk jadi pengedar simkad Tonewow, saya rasa inilah waktu terbaik anda boleh mulakan

Kita membayar dan kita dibayar
Simkad yang menang kedua-duanya",0,0,0,0
102,2021-09-21 15:13:16+00:00,https://twitter.com/Kimihamehameha/status/1440333314141818887,Kimihamehameha,Twitter for iPhone,,Line @Celcom slow . Dah try on off phone sama saja. Hmmm.. tiada improvement,0,0,0,0
103,2021-09-18 12:17:52+00:00,https://twitter.com/izriez/status/1439202007345090561,izriez,Twitter for Android,Kuala Lumpur City,"@MCMC_RASMI Hi MCMC, tolong stabilkan signal 4G Celcom, line sgt slow &amp; congest,juga luaskn liputan 4G LTE bg rangkaian telco Maxis &amp; Digi di kawasan luar bandar di Kedah. Bnyk kali aduan di buat tetapi tiada tindakan yg dibuat. Sila jalankan tanggungjawab",0,0,0,0
104,2021-09-12 09:57:03+00:00,https://twitter.com/ThessaES/status/1436992243018047489,ThessaES,Twitter for Android,Zamboanga City,@ryenoldloza Apa kw pakai rye? Aku kan punya celcom 2 minggu lebih sudah bikin panas. Tiada line oh,0,0,0,1
105,2021-09-05 02:26:59+00:00,https://twitter.com/emceejason/status/1434342265049157633,emceejason,Twitter for Android,"Kota Kinabalu, Sabah (BKI)","@DecipherBKI @KKCity City area, Digi and Celcom territory. Mana yg tiada line Digi dan Celcom, biasanya ada Maxis 🤣 if you're hanging around more in urban areas, definitely go for 1. Digi 2. Celcom

I'm using both Digi and Celcom.. wife is using Maxis..",0,0,0,1
106,2021-09-02 02:49:18+00:00,https://twitter.com/CarlyeLaj/status/1433260719877726211,CarlyeLaj,Twitter for Android,Sabahan,"@Celcom line sejak semalam area kembirian lanit Manggatal Kota kinabalu Sabah Malaysia sangat mengecewakan..saya tiada tunggakan bil ,malah bayar lebih lagi ,dgn harapan perkhidmatan kamu cemerlang namun mendukacitakan .",0,1,0,0
107,2021-08-24 15:22:47+00:00,https://twitter.com/divaavivaa/status/1430188847325794306,divaavivaa,Twitter for Android,"Bandar Kuala Lumpur, Wilayah P",@Celcom dengan siput slow serupa line dia berpisah tiada. Upgrade naik berapa G pun tetap masalah.,0,0,0,0
108,2021-08-24 06:39:21+00:00,https://twitter.com/OnexoxWahid/status/1430057121362501634,OnexoxWahid,Twitter for Android,"Bukit Raja, Selangor","#DATA_SOLID_INTERNET_LAJU - 
👉 Internet High Speed (4G LTE)
👉 Line Liputan Luas (Celcom)
👉 Blacklist diterima
👉 Boleh kekalkan nombor lama
👉 tiada sekatan internet
👉 Unlimited Calls
👉 Hotspot (keseluruhan data tanpa had)
👉 Tiada caj @ syarat tersembunyi
👉 Tiada Kontrak https://t.co/qFDrxmf0kj",1,0,0,0
109,2021-08-23 12:55:19+00:00,https://twitter.com/siimatahari/status/1429789348690493440,siimatahari,Twitter for Android,dihatipandaku,@Celcom  kenapa tiada line dirumah kami? Adikku suruh tanya habis dia mau showoff dlm pubg.,0,0,0,0
110,2021-08-21 06:42:58+00:00,https://twitter.com/aLbumie/status/1428970868126879746,aLbumie,Twitter for iPhone,Malaysia,Hai @Celcom . Kenapa line teruk sgt sekarangni. Asik tiada line tiba2 dikawasan saujana putra,0,0,0,0
111,2021-08-18 00:04:19+00:00,https://twitter.com/Celcom/status/1427783381840928778,Celcom,Khoros CX,Malaysia,@nrwanieeee Boleh tunggu dalam masa 24 jam ye @nrwanieeee. Jika selepas 24 jam still tiada line boleh DM kami untuk semakan lanjut - Qis,0,0,0,0
